Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
CLDN11	3q26.2	0.7982882469923117	7.9364104470857965e-115	1.6000597102369674e-110
NINJ2	12p13.33	0.7918116016581235	1.0367646054914145e-111	1.0451105605656204e-107
MOG	6p22.1	0.7791529730792892	6.265650438163462e-106	4.210725949460452e-102
TMEM144	4q32.1	0.7729255417293497	3.1786038566058535e-103	1.6020958088257654e-99
BOK	2q37.3	0.7726593611470519	4.12992122000923e-103	1.6652668343321218e-99
CNTN2	1q32.1	0.7705067240196597	3.387130878532494e-102	1.1381324273682269e-98
ST18	8q11.23	0.7677966192683704	4.6374032332814643e-101	1.1531157661660349e-97
SLC31A2	9q32	0.7677160279276396	5.00993515076498e-101	1.1531157661660349e-97
SLC45A3	1q32.1	0.7676877502642254	5.147582905359017e-101	1.1531157661660349e-97
FOLH1	11p11.12	0.7670860546073938	9.155392836659887e-101	1.845818749799e-97
GPR62	3p21.2	0.7665868654804384	1.4742614212629138e-100	2.702053137643782e-97
CAPN3	15q15.1	0.7651685197409792	5.670443307801453e-100	9.526817294048756e-97
MAG	19q13.12	0.7641422341758201	1.4940525180316912e-99	2.31704560123361e-96
ERMN	2q24.1	0.7586974857556247	2.3505475459438535e-97	3.384956362412431e-94
MYRF	11q12.2	0.7582449105894526	3.557457081703798e-97	4.781459481615352e-94
MBP	18q23	0.7575582052069827	6.659734005850643e-97	8.391681080747175e-94
GJB1	Xq13.1	0.7560533200098402	2.612509840464955e-96	3.0063201137419196e-93
KLK6	19q13.41	0.7560234517271998	2.6840812483187614e-96	3.0063201137419196e-93
S1PR5	19p13.2	0.7556020703491731	3.928353566743038e-96	4.168396645216126e-93
CNP	17q21.2	0.7553962452874347	4.730265386120493e-96	4.768344022478763e-93
TMEM125	1p34.2	0.7552450873961082	5.4210332584115485e-96	5.204450072515963e-93
CYB5R2	11p15.4	0.7532582771979379	3.222262175373271e-95	2.9529103508045688e-92
ENPP2	8q24.12	0.7520305847672786	9.611694057972816e-95	8.42527669142565e-92
TMEM63A	1q42.12	0.7493000670777109	1.0678827575143193e-93	8.970660114269246e-91
ELOVL1	1p34.2	0.748831099703529	1.6097748780114001e-93	1.2981868526235134e-90
