Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
RBBP4	1p35.1	0.8227390588694339	1.0515781042205252e-127	2.1200866159190008e-123
RPAP2	1p22.1	0.8187149706302217	1.879104379496404e-125	1.89423116975135e-121
DDX20	1p13.2	0.8099413395336831	9.89808979277828e-121	6.65184627707343e-117
PKN2	1p22.2	0.7855377333614211	8.513414827595163e-109	4.290973908478652e-105
ZZZ3	1p31.1	0.7833056805031853	8.778110662085564e-108	3.539509781166141e-104
HP1BP3	1p36.12	0.7760951414357047	1.3684734801563214e-104	4.5982989722386e-101
USP1	1p31.3	0.7668878016765509	1.1063903389316273e-100	3.186562231885791e-97
SNIP1	1p34.3	0.7660755699788326	2.3985763718443305e-100	6.044712279094194e-97
SF3A3	1p34.3	0.7655833788132423	3.8275785392097663e-100	8.574201214334233e-97
ZMYM1	1p34.3	0.7637203057195393	2.2218901093277456e-99	4.479552649415668e-96
S100PBP	1p35.1	0.7623079247997063	8.337939673965706e-99	1.528192743334751e-95
YTHDF2	1p35.3	0.7612033285725974	2.3305016994643895e-98	3.9154370635751295e-95
SERBP1	1p31.3	0.7571791519656862	9.405529546845154e-97	1.4586529322611168e-93
TMEM69	1p34.1	0.7561063848137631	2.4900048206912237e-96	3.585784799282554e-93
RSBN1	1p13.2	0.7546699511761832	9.097514960512864e-96	1.2227666607926657e-92
TUT4	1p32.3	0.7537663639307078	2.0460194464046435e-95	2.578112378685251e-92
LINC00662	19q11	0.749713114261558	7.433734849771361e-94	8.815972253308259e-91
ZNF181	19q13.11	0.7493225732108715	1.0470312523905576e-93	1.1727331710803352e-90
GNAI3	1p13.3	0.749196472502799	1.1693139125246018e-93	1.240765146863605e-90
LRRC41	1p34.1-p33	0.7453032125547173	3.428004676396994e-92	3.45560011404199e-89
ZNF644	1p22.2	0.744100997739797	9.609035892760988e-92	9.225132030188298e-89
PRPF38A	1p32.3	0.743816188648599	1.2256290102162702e-91	1.1231775670441012e-88
ZMYM4	1p34.3	0.7402941778410562	2.4194075839566376e-90	2.1207685347891204e-87
DR1	1p22.1	0.7391081344255604	6.534163735308934e-90	5.488969794481809e-87
SIKE1	1p13.2	0.7379280280003652	1.746547058198915e-89	1.4084854096139331e-86
KDM4A	1p34.2-p34.1	0.7366171373818797	5.173571048476214e-89	4.011706381089575e-86
ELOA	1p36.11	0.7364055409286144	6.1609876207751184e-89	4.600432274905451e-86
DOCK7	1p31.3	0.7354534673485442	1.3491978538998137e-88	9.714706404455051e-86
KANSL1L	2q34	0.7351049009631175	1.7961428762885972e-88	1.248690914788083e-85
SRSF4	1p35.3	0.7348879140802632	2.1458435623091467e-88	1.4420784019904903e-85
RLF	1p34.2	0.7346540489670603	2.598838874845293e-88	1.69016743728245e-85
WDR3	1p12	0.7345526470334109	2.823700272979328e-88	1.7790194126105072e-85
PPP1R8	1p35.3	0.7344642513771221	3.0354406004241714e-88	1.8544702407621732e-85
LSM14A	19q13.11	0.7335775978518171	6.25915067415267e-88	3.7114922571056467e-85
SRSF10	1p36.11	0.7312687869730443	4.064737920836854e-87	2.341405177771195e-84
DCLRE1B	1p13.2	0.7309455217780099	5.273785424469581e-87	2.953466331742534e-84
TTC4	1p32.3	0.7296413190399162	1.50215725362906e-86	8.18513307849067e-84
EFCAB7	1p31.3	0.7261768031301781	2.3523817803703846e-85	1.248062344053877e-82
MIER1	1p31.3	0.7253665155218194	4.4493864510712175e-85	2.2565708511742385e-82
FBXO42	1p36.13	0.7253586066128334	4.4771010389846505e-85	2.2565708511742385e-82
NADK	1p36.33	0.724249901287759	1.0668637145777104e-84	5.246107158439322e-82
SLC35D1	1p31.3	0.723875973372956	1.4284979169744902e-84	6.857130120029214e-82
ABCD3	1p21.3	0.7236843640070586	1.6586655592812667e-84	7.776827055969679e-82
ZNHIT6	1p22.3	0.7211835421612997	1.1522379177509213e-83	5.279606513585529e-81
TMEM167B	1p13.3	0.7198483663286536	3.215134613533185e-83	1.4404517542987232e-80
ST7L	1p13.2	0.7195636455988638	3.998505570091044e-83	1.7524754521435985e-80
DNTTIP2	1p22.1	0.7193676460399958	4.64535713114007e-83	1.9926605344875523e-80
GDAP2	1p12	0.7193078935838179	4.862515036887741e-83	2.042357617889453e-80
PNRC2	1p36.11	0.7168373253147294	3.182407008910174e-82	1.3093981164620001e-79
SCP2	1p32.3	0.7141664999462716	2.371455975276856e-81	9.56218478351134e-79
THRAP3	1p34.3	0.7132697887092938	4.6304719189308355e-81	1.8304891050502858e-78
ACADM	1p31.1	0.7125081317612748	8.158094307119922e-81	3.1629872947277837e-78
SLC30A7	1p21.2	0.7108673645255252	2.746162301875952e-80	1.0446297767570014e-77
ZNF790	19q13.12	0.7104106389767062	3.844183790847503e-80	1.4352331371717875e-77
ARID1A	1p36.11	0.7092836828227926	8.790883783261607e-80	3.2224183264424956e-77
PHACTR4	1p35.3	0.7066511649104946	5.97725861554465e-79	2.1519198383570658e-76
NRAS	1p13.2	0.7058689340463038	1.0521576533508933e-78	3.7215000788083087e-76
BTF3L4	1p32.3	0.704545510779445	2.7272482197129514e-78	9.480008854764278e-76
FOXJ3	1p34.2	0.7044895740252687	2.8389472000250604e-78	9.701019406729702e-76
SNRNP40	1p35.2	0.7042405382882981	3.3940588903259036e-78	1.1404603547976758e-75
PDIK1L	1p36.11	0.702808084769899	9.446797170693896e-78	3.1222438976780265e-75
ZNF45	19q13.31	0.7027237664575994	1.0031591471478989e-77	3.2620470267175466e-75
UBA2	19q13.11	0.702022038550939	1.652357410941601e-77	5.267011402438928e-75
DPH2	1p34.1	0.7020054099146661	1.67198417616235e-77	5.267011402438928e-75
