Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
TPRG1L	1p36.32	0.6950404293256156	2.1892716492597385e-75	4.4137905720725584e-71
TUBA4A	2q35	0.6465423819203234	3.567419251351486e-62	3.596136976324865e-58
CBX7	22q13.1	0.6251174572372152	4.5029476440186433e-57	3.026130915035329e-53
SPRYD3	12q13.13	0.6161790478062186	4.6372763946334536e-55	2.3373032348051265e-51
ST6GALNAC6	9q34.11	0.6064230943672	6.17447885384448e-53	2.4896733634471716e-49
OPTN	10p13	0.6048749806971815	1.3211851031927137e-52	4.439402144244717e-49
SPINT2	19q13.2	0.6034213896090058	2.688503805468807e-52	7.743275031722374e-49
KIAA0319	6p22.3	0.5942819031132163	2.1561427665642096e-50	5.433749289587629e-47
GABARAPL1	12p13.2	0.5919221894139952	6.538358349161234e-50	1.464664918638218e-46
CYP46A1	14q32.2	0.5903981117236786	1.3321104169000157e-49	2.6856678115121216e-46
MAPK3	16p11.2	0.5899676545490915	1.6275579595948616e-49	2.909246528461035e-46
RASGEF1A	10q11.21	0.5898343569626335	1.73160846890196e-49	2.909246528461035e-46
CD99L2	Xq28	0.585129585375004	1.5149755122216056e-48	2.3494939462999837e-45
YWHAH	22q12.3	0.5846334762018062	1.9003720229046905e-48	2.7366714538415332e-45
ANXA11	10q22.3	0.5841630949548454	2.3551072777289457e-48	3.1654211884195516e-45
LYNX1	8q24.3	0.5839539857024152	2.5904894708788376e-48	3.264178638899265e-45
RBMX	Xq26.3	-0.5769484027649364	6.056885727772271e-47	7.183110185742162e-44
PDK2	17q21.33	0.5762302384977844	8.331360013979034e-47	9.331586068990629e-44
PDP1	8q22.1	0.5760116168173444	9.17908977835513e-47	9.739980474811462e-44
ABR	17p13.3	0.5752421992863865	1.2902019828285347e-46	1.2899360136139201e-43
MDH1	2p15	0.5751503852500175	1.3436166998607373e-46	1.2899360136139201e-43
SETDB1	1q21.3	-0.5740584824937733	2.1745479343717872e-46	1.9927754956758913e-43
RAB11FIP5	2p13.2	0.5724010894853265	4.500457401193215e-46	3.944944420237235e-43
SCN1B	19q13.11	0.5705895517128863	9.919181689401664e-46	8.332525918334456e-43
