Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
SCLT1	4q28.2	0.5923441451727529	5.365474261274655e-50	1.0817332658155832e-45
CAPZA1	1p13.2	0.5338612861343791	3.301357756564308e-39	3.327933686504651e-35
SLC30A7	1p21.2	0.5146684410900061	4.172681647563169e-36	2.8041811565507015e-32
CMPK1	1p33	0.5023663875433002	3.214468003535193e-34	1.6201722354818255e-30
ZMYM6	1p34.3	0.49923290212106725	9.452199255863625e-34	3.811315783949331e-30
EXTL2	1p21.2	0.49735968369666833	1.7916497858182405e-33	6.020241888646924e-30
TMEM69	1p34.1	0.4946599289536959	4.472032176837023e-33	1.2880091531030175e-29
AKIRIN1	1p34.3	0.4822068329879261	2.740225758408117e-31	6.905711439408255e-28
RAP1A	1p13.2	0.4813699909047548	3.591530243729991e-31	8.04542680487115e-28
RTCA	1p21.2	0.4798227273280575	5.911048179043403e-31	1.1917264233769406e-27
ZNF684	1p34.2	0.47890944716748307	7.922637247272188e-31	1.4520753594750415e-27
AGL	1p21.2	0.47787496015169156	1.102796483727151e-30	1.7157750880168894e-27
PHTF1	1p13.2	0.47779283293342206	1.1320790108727805e-30	1.7157750880168894e-27
SRSF10	1p36.11	0.4776325781127926	1.1914513780187715e-30	1.7157750880168894e-27
EVI5	1p22.1	0.4772790967761032	1.3335260749979676e-30	1.7923479465356016e-27
CCDC18	1p22.1	0.4761294099017078	1.921920570872895e-30	2.421740039335527e-27
ZFAND4	10q11.22	0.4745739848595206	3.1443659170533903e-30	3.729033014924318e-27
SRSF11	1p31.1	0.4728353504364593	5.435246542073242e-30	6.087778085263257e-27
FPGT	1p31.1	0.4725964041858897	5.858397997716071e-30	6.216376949050195e-27
ATG4C	1p31.3	0.47242664984145744	6.178664202213998e-30	6.228402449041821e-27
RIOX2	3q11.2	0.46719613203980986	3.1393326278247666e-29	2.9256933619233106e-26
TCEANC2	1p32.3	0.4671415546661348	3.1925625694317163e-29	2.9256933619233106e-26
KANSL1L	2q34	0.4660077087559792	4.524216079766672e-29	3.965770451485908e-26
ZDHHC22	14q24.3	-0.4651613229616159	5.863996718247414e-29	4.9260015765244214e-26
GPBP1L1	1p34.1	0.46478107676479646	6.587195572103007e-29	5.312177997166749e-26
HP1BP3	1p36.12	0.46271574696882206	1.235740270450678e-28	9.582215227906199e-26
WDR78	1p31.3	0.4623709464328491	1.372019900948175e-28	1.024492341593191e-25
GTF2F1	19p13.3	-0.46182496660971306	1.6188128960838338e-28	1.165603099926649e-25
