Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
ADIPOR1	1q32.1	0.5830751818253801	3.8629681007452794e-48	7.788129987912557e-44
HAX1	1q21.3	0.5638824560272947	1.7736700020072726e-44	1.787948045523431e-40
EIF1	17q21.2	0.559315436650534	1.2173754660539126e-43	8.18116892370431e-40
TNRC18	7p22.1	-0.5429601543430188	9.492340373177402e-41	4.7843768565907395e-37
CROCCP3	1p36.13	-0.5139926163044276	5.321936019418562e-36	2.1459110417499525e-32
COX7A2L	2p21	0.5002128777895918	6.753942552540658e-34	2.2694372633628703e-30
SCAMP3	1q22	0.496927654029865	2.0752084396017245e-33	5.976896764401481e-30
MASP2	1p36.22	-0.49102099132695315	1.514892726954026e-32	3.817719033515015e-29
CCDC57	17q25.3	-0.49001921091666206	2.114175510818311e-32	4.735988052623107e-29
CFAP44	3q13.2	-0.484861133479184	1.1560294621536277e-31	2.3306709986479288e-28
ATP5MG	11q23.3	0.48431224823352453	1.3827605727824764e-31	2.534348718897046e-28
MRPS18B	6p21.33	0.48118589807033346	3.8113849626494847e-31	6.403444352664689e-28
KMT2B	19q13.12	-0.47837582825384745	9.397606508193719e-31	1.4574241908591814e-27
EP400P1	12q24.33	-0.47117633530768793	9.135953585104944e-30	1.222280658105973e-26
ATP6V1E1	22q11.21	0.47103088207971555	9.560238843583402e-30	1.222280658105973e-26
RBM33	7q36.3	-0.47098431230380977	9.700158985018387e-30	1.222280658105973e-26
ZNF154	19q13.43	-0.4677539089506511	2.643231070651013e-29	3.134716565611475e-26
PIGP	21q22.13	0.46443767989729984	7.315742265126849e-29	8.194037767067911e-26
PRDM15	21q22.3	-0.4623232176622283	1.3920197515542002e-28	1.4407823591087764e-25
UBE2Q2P1	15q25.2	-0.4622360871137586	1.4292766818201244e-28	1.4407823591087764e-25
STK36	2q35	-0.46160054664256833	1.7325538977194805e-28	1.6633342443772595e-25
KIAA0753	17p13.1	-0.46117399577293094	1.9709601470530004e-28	1.796732896539728e-25
GSTO1	10q25.1	0.4610442039978966	2.049742404663149e-28	1.796732896539728e-25
LINC01000	7q32.1	-0.46056399356594774	2.3692600633606794e-28	1.9902771723922773e-25
