Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
EPS15	1p32.3	0.6238730771216494	8.662144748472281e-57	1.7463750027394966e-52
FAM76A	1p35.3	0.6033753500382604	2.749522934386678e-52	2.7716565940084906e-48
SAPCD2	9q34.3	-0.6024852663984549	4.240125290338857e-52	2.8495055326173895e-48
BHLHE41	12p12.1	0.592886249915167	4.160191278454722e-50	2.0968404091231414e-46
SYNM	15q26.3	0.5862582617998657	9.033012376367945e-49	3.6422912503990826e-45
ATG4C	1p31.3	0.5721922892599955	4.930889749702204e-46	1.6568611373957688e-42
STXBP3	1p13.3	0.5674184452856709	3.9100587821013196e-45	1.1261527872277815e-41
TLE4	9q21.31	0.5669665328772358	4.7484602250800075e-45	1.1966713324729753e-41
DNAJB4	1p31.1	0.5656839641060131	8.227987975049874e-45	1.8431607284997835e-41
CACNG4	17q24.2	-0.5550120181174109	7.276339530752797e-43	1.4669828127950714e-39
KIF16B	20p12.1	0.5544763773149601	9.073438418790245e-43	1.6629962905566375e-39
TESK2	1p34.1	0.5520175902972626	2.4864451038710835e-42	4.177434978262076e-39
PDE8A	15q25.3	0.54842592938904	1.0680878846393281e-41	1.6564399878625763e-38
TMEM167B	1p13.3	0.5472222850614756	1.733963210831447e-41	2.497030878112343e-38
MPL	1p34.2	0.5462805946651367	2.529775018570973e-41	3.4001862766272924e-38
DIPK1A	1p22.1	0.545675838254328	3.222229176156461e-41	3.989221199999367e-38
ZIC5	13q32.3	0.5455682626344605	3.3637597539799233e-41	3.989221199999367e-38
DUSP22	6p25.3	0.5433670554042717	8.078694460665999e-41	9.048586612304846e-38
CCDC30	1p34.2	0.5429459833224964	9.545761209558816e-41	1.0129057460311332e-37
TMEM59	1p32.3	0.541894893736628	1.4463181317254754e-40	1.4579609926858656e-37
VAMP3	1p36.23	0.5409742026405685	2.0787769015623287e-40	1.9957248148761003e-37
C1GALT1	7p22.1-p21.3	0.5384189061453087	5.656110316819582e-40	5.183310913518163e-37
MAF	16q23.2	0.5359109101590338	1.498229594082536e-39	1.3132959498390437e-36
MFSD14A	1p21.2	0.5352720116871592	1.917717132158992e-39	1.61096229589406e-36
RAP1A	1p13.2	0.5334732753657436	3.831622822956122e-39	3.089973909344735e-36
PIGV	1p36.11	0.532589135893554	5.3762064074460946e-39	4.106483347813005e-36
ARHGAP6	Xp22.2	0.5325298618200933	5.4994816919275407e-39	4.106483347813005e-36
ACADM	1p31.1	0.532205154713172	6.22620267311309e-39	4.4830882890226076e-36
TM2D1	1p31.3	0.5312165203772499	9.07773661418962e-39	6.310905099264722e-36
TYW3	1p31.1	0.5293507896946205	1.8430774865781817e-38	1.2386095068967574e-35
AZIN2	1p35.1	0.5268600577540347	4.711623591711063e-38	3.0642272010479596e-35
YAP1	11q22.1	0.5262906604908832	5.832874869001098e-38	3.674893444810348e-35
UCK2	1q24.1	-0.5261505535054374	6.1470767155667e-38	3.755491323107279e-35
GJA1	6q22.31	0.524049213826832	1.3463043948536582e-37	7.983189089601354e-35
TMTC2	12q21.31	0.5227363906672399	2.1910466426255328e-37	1.2621054674849534e-34
GPBP1L1	1p34.1	0.52000731949644	5.989466773532455e-37	3.3542677672552176e-34
B3GNT2	2p15	0.5193813669064605	7.533608291091425e-37	4.1050020745052485e-34
DRC7	16q21	0.518234984206924	1.145259325095919e-36	5.941234936012314e-34
HIP1R	12q24.31	-0.5182253521276116	1.1492890357843373e-36	5.941234936012314e-34
FANCE	6p21.31	-0.5165736158486948	2.095530406733453e-36	1.0561997132538285e-33
EVI5	1p22.1	0.516087240037973	2.4994070427642846e-36	1.2199214511937233e-33
WDTC1	1p36.11	0.5160412446510759	2.5413769629550308e-36	1.2199214511937233e-33
LIMCH1	4p13	0.5157392480425836	2.8348248386085968e-36	1.3275064989602288e-33
TMEM97	17q11.2	-0.5156790696401313	2.897191902894205e-36	1.3275064989602288e-33
FPGT	1p31.1	0.5146510882073334	4.1988567612613175e-36	1.881181136973098e-33
C21ORF91	21q21.1	0.514468520542916	4.484296193684155e-36	1.9606064647880744e-33
ELP5	17p13.1	-0.5143749833344042	4.6379040212488256e-36	1.9606064647880744e-33
GCNT2	6p24.3-p24.2	-0.5143570888755253	4.6678790888263265e-36	1.9606064647880744e-33
IPO13	1p34.1	0.5135640329683093	6.207964998126342e-36	2.554260863820922e-33
GNG4	1q42.3	-0.513081700557779	7.38078886191936e-36	2.976081684903124e-33
FEM1A	19p13.3	-0.512680676599667	8.521107092105375e-36	3.368510589881107e-33
SLCO3A1	15q26.1	0.5125493066902375	8.931351181147964e-36	3.4627879069831554e-33
EFCAB14	1p33	0.5123532187679998	9.580364678421222e-36	3.644334571351892e-33
SEMA6C	1q21.3	-0.5115864964348384	1.2598324447882017e-35	4.70360776284721e-33
PODXL2	3q21.3	-0.5115186300426445	1.2907002493218673e-35	4.731237768468757e-33
WDR78	1p31.3	0.5102984601398053	1.992640518148642e-35	7.173861693999068e-33
TMEM47	Xp21.1	0.5101572814685058	2.0950867869162775e-35	7.410358721231416e-33
PRR3	6p21.33	-0.5090375743650076	3.115495683728985e-35	1.0829570427527597e-32
MTF1	1p34.3	0.5086220806846586	3.608362421192522e-35	1.2330202504010582e-32
GCA	2q24.2	0.5078572912044155	4.7259048207417784e-35	1.5879827848495832e-32
HDHD5	22q11.1	-0.5075056431613295	5.348871740763128e-35	1.7678459535332036e-32
PLAG1	8q12.1	0.5073262013384218	5.697442583365101e-35	1.8526796761810292e-32
DUSP12	1q23.3	-0.5064318760491051	7.799840937990309e-35	2.4960729071559146e-32
TCFL5	20q13.33	0.506342580490105	8.047913310537795e-35	2.5352184414648825e-32
MIER1	1p31.3	0.5058229342410229	9.654574702456584e-35	2.9945520088650337e-32
AMPD3	11p15.4	0.5055817787927204	1.0504422366717153e-34	3.208782717202796e-32
TRIM67	1q42.2	-0.5051690132745738	1.213434546132551e-34	3.6513513260564716e-32
GRIK2	6q16.3	-0.5048858389857916	1.3395022270848146e-34	3.971427117684845e-32
PTPRF	1p34.2	0.504762477679148	1.3984003303931222e-34	4.0859636320370635e-32
ATCAY	19p13.3	-0.5045615295335122	1.499881525889953e-34	4.3120840159142026e-32
DBN1	5q35.3	-0.5045260057188484	1.5185653743857366e-34	4.3120840159142026e-32
OSTF1	9q21.13	0.5042431849008584	1.6757760046709968e-34	4.646458442285382e-32
ASIC4	2q35	-0.5042318296516443	1.6824138995428444e-34	4.646458442285382e-32
PTP4A2	1p35.2	0.5034683880458999	2.1938921087699962e-34	5.977170108771878e-32
CFAP221	2q14.2	0.5024802273400533	3.090293795034933e-34	8.307121760226572e-32
CMPK1	1p33	0.5012340549321904	4.7527061811673535e-34	1.2607803857699345e-31
BAIAP3	16p13.3	0.501088458076232	4.997261887901018e-34	1.3084389210645768e-31
ARAP2	4p14	0.5010160187005502	5.123538908873692e-34	1.3243034351513142e-31
DNAJC16	1p36.21	0.5008255641741801	5.4708182794982975e-34	1.396166675100825e-31
LPCAT2	16q12.2	0.5005295765691632	6.057331427361207e-34	1.526523236337866e-31
MAP3K19	2q21.3	0.4995909580747489	8.360884695429335e-34	2.0810345227722323e-31
ACBD6	1q25.2-q25.3	-0.4994776916740109	8.691879401571111e-34	2.137036348964331e-31
NONO	Xq13.1	-0.4993298525149744	9.143497548357637e-34	2.2209886032823892e-31
C2CD2	21q22.3	0.49840587986292184	1.2541735324165795e-33	2.9823022974860614e-31
DOCK7	1p31.3	0.49839845697627505	1.2573567545573892e-33	2.9823022974860614e-31
MBNL2	13q32.1	0.4977226650045288	1.583332810574124e-33	3.711810789998246e-31
TMEM232	5q22.1	0.496926030205537	2.0763539289148904e-33	4.811651903546334e-31
