Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
HCLS1	3q13.33	0.8846418932248699	8.769867446604453e-172	1.7680929759099237e-167
TYROBP	19q13.12	0.87200935266044	5.6857268562282884e-161	5.731496957420926e-157
VAMP8	2p11.2	0.8683467324905891	4.739572459448202e-158	3.18515067849784e-154
LAIR1	19q13.42	0.867189273222091	3.807186804562849e-157	1.9189173291697899e-153
C1QA	1p36.12	0.8664050982858649	1.544599263619869e-156	6.228133150768036e-153
RNASE6	14q11.2	0.8636049910958505	2.1354543684030457e-154	7.175482586895633e-151
GPSM3	6p21.32	0.8611944719200498	1.3630702098169263e-152	3.925836928588435e-149
LAPTM5	1p35.2	0.8604807511961127	4.596630707824202e-152	1.1584083962555466e-148
CD300A	17q25.1	0.8578824947765313	3.6292091228446875e-150	8.129831680630193e-147
CMTM7	3p22.3	0.8552551021907258	2.7571078118974658e-148	5.558605059566481e-145
GMFG	19q13.2	0.8550423380678529	3.90045785536896e-148	7.148830074735781e-145
ARHGDIB	12p12.3	0.8526462479849406	1.8679041895242964e-146	3.1382346970832787e-143
FCER1G	1q23.3	0.8518799863268672	6.344548602885565e-146	9.839418798675067e-143
SPI1	11p11.2	0.8507915867767452	3.5609032220374276e-145	5.127954989964041e-142
C1QC	1p36.12	0.8472761430858566	8.53188600044449e-143	1.1467423576997423e-139
DEF6	6p21.31	0.847162060390043	1.0168464761379216e-142	1.2812901128385399e-139
HCST	19q13.12	0.8453116408312658	1.7168880068923223e-141	2.036128182762124e-138
WAS	Xp11.23	0.8449150466106458	3.131319555688222e-141	3.507251864568347e-138
CYBA	16q24.2	0.8439745492198124	1.2933539938726972e-140	1.3723847300246023e-137
TBXAS1	7q34	0.8438219382084472	1.6266230227568334e-140	1.639717338090026e-137
TLR2	4q31.3	0.8430182340113561	5.418716227071323e-140	5.202225612094521e-137
SASH3	Xq26.1	0.8424616058928879	1.2420022379751134e-139	1.1381821418098301e-136
C1QB	1p36.12	0.8412674048462154	7.28205684664043e-139	6.3831977428312046e-136
IL18	11q23.1	0.8408407656088838	1.3650054087380922e-138	1.1466614185653616e-135
STXBP2	19p13.2	0.8403358325927013	2.864522509384657e-138	2.3100655324681628e-135
RNASET2	6q27	0.8385788176888276	3.7029169941355603e-137	2.871327289183347e-134
PARVG	22q13.31	0.8384553680172125	4.427271540688907e-137	3.3058600567344094e-134
CD86	3q13.33	0.8360378929518146	1.4208145680750258e-135	1.0230372323914499e-132
NCF4	22q12.3	0.8354416761054404	3.313489938070102e-135	2.3035610566010803e-132
PTPN6	12p13.31	0.8330329494419695	9.797765845797627e-134	6.584425240570866e-131
ARPC1B	7q22.1	0.8326186117085572	1.7448738193699856e-133	1.1347871313651058e-130
MYO1F	19p13.2	0.8325149380067475	2.015439219600014e-133	1.2697896908236211e-130
CD33	19q13.41	0.8309429650587502	1.7717732892948947e-132	1.0824460995598295e-129
FERMT3	11q13.1	0.8304649841899158	3.416067940431129e-132	2.0256278160891765e-129
FCGR2A	1q23.3	0.8301461718814921	5.2869369100888993e-132	3.0454267155514946e-129
TNFAIP8L2	1q21.3	0.8293735547739427	1.5178805720658038e-131	8.500552837060741e-129
AIF1	6p21.33	0.8275427528437281	1.809077941158479e-130	9.857519019377323e-128
BTK	Xq22.1	0.8271407681936389	3.1049783364459522e-130	1.6473544273970223e-127
RASAL3	19p13.12	0.8257054117039916	2.1125815835827385e-129	1.092096341195169e-126
LST1	6p21.33	0.8233812529257999	4.540968967513761e-128	2.2887618838511233e-125
PIK3R5	17p13.1	0.8227220299120228	1.0752066688518654e-127	5.287132109932307e-125
ADORA3	1p13.2	0.8223125340077548	1.8333459998340552e-127	8.800497310155807e-125
ARHGAP15	2q22.2-q22.3	0.8218286325032731	3.438257477680998e-127	1.6120630001750373e-124
EBI3	19p13.3	0.8209128962029254	1.1242946447879738e-126	5.151569166720532e-124
HAVCR2	5q33.3	0.8194908650998627	6.98388587985442e-126	3.128936071638777e-123
ABI3	17q21.32	0.8193782846548829	8.064846613980556e-126	3.534682012705695e-123
TNFRSF1B	1p36.22	0.818118868248405	4.0068229509851167e-125	1.7187565428683176e-122
CD53	1p13.3	0.8179340030279184	5.064523605936725e-125	2.1272054254018817e-122
ALOX5	10q11.21	0.8173020856322734	1.1257303875910296e-124	4.63180619269852e-122
LY86	6p25.1	0.8167945899529024	2.1333146889706824e-124	8.601951488867585e-122
RHBDF2	17q25.1	0.8165069531017187	3.0621112628303515e-124	1.2104946111749554e-121
LAT2	7q11.23	0.8160699928724832	5.2959811940985726e-124	2.053313016427333e-121
ITGB2	21q22.3	0.8148317666845397	2.4815868394419687e-123	9.439862692450854e-121
SERPINA1	14q32.13	0.814080641266697	6.297733203568832e-123	2.351270354021319e-120
HLA-DMA	6p21.32	0.8140490939991486	6.548338762115723e-123	2.4003828687820928e-120
LGALS9	17q11.2	0.8132320462799306	1.794395049718143e-122	6.460142606672765e-120
ARHGAP45	19p13.3	0.8132073916926855	1.8496726136607279e-122	6.542324484914725e-120
