Correlated Gene	Cytoband	Spearman's Correlation	p-Value	q-Value
HEY1	8q21.13	0.6733554385125423	3.6284868445383934e-69	7.315392327273855e-65
FHDC1	4q31.3	0.6418877902575052	4.9574962184172656e-61	4.997404062975525e-57
KLHL25	15q25.3	0.5972326772252807	5.3159007614042995e-51	3.5724625083557363e-47
EEPD1	7p14.2	0.5773330673465679	5.104377112873637e-47	2.572733674316135e-43
SH3GL1	19p13.3	0.5605576779513401	7.230435224331179e-44	2.9154560911548185e-40
BTBD17	17q25.1	0.5504429541232481	4.721194360761154e-42	1.5863999917884273e-38
SCARB1	12q24.31	0.5263142988501444	5.781456229845171e-38	1.6651419864272644e-34
BID	22q11.21	0.5228456342271062	2.1041981946685387e-37	5.302842475339051e-34
PGF	14q24.3	0.5177569918787219	1.3631523584867852e-36	3.053612744383564e-33
DAND5	19p13.13	0.5170993594689495	1.7314758576070723e-36	3.4908284765216186e-33
CREBL2	12p13.1	-0.5162799699876787	2.3308859924659482e-36	4.272090226736907e-33
GLIS2	16p13.3	0.5123260015169637	9.674065865695593e-36	1.625323682652407e-32
TBC1D10A	22q12.2	0.508582381116177	3.6593158465002254e-35	5.675035906253158e-32
ST8SIA2	15q26.1	0.5050689261463835	1.2565894267555356e-34	1.8095785309155965e-31
PCGF2	17q12	0.4966496492575679	2.2807281900820275e-33	3.06545073601625e-30
PYCR1	17q25.3	0.4824464861800652	2.535590569722422e-31	3.195002592260859e-28
MMP15	16q21	0.4788278290199957	8.132409483689994e-31	9.64455927062788e-28
SHMT2	12q13.3	0.46831481256880225	2.2226723262269673e-29	2.4895164871701047e-26
BMP2	20p12.3	0.46800849628907587	2.4433907709488005e-29	2.5926948070051985e-26
NAV1	1q32.1	0.4676140228844505	2.759832795374221e-29	2.7820494493769836e-26
CBS	21q22.3	0.4672377870873145	3.099297637869868e-29	2.9754733179568765e-26
LCAT	16q22.1	0.465752115484033	4.8932216345332195e-29	4.484192789719283e-26
SLC6A18	5p15.33	0.4652612529755008	5.687348331002264e-29	4.985331726145072e-26
SNCAIP	5q23.2	0.46180069947449914	1.6307468670759308e-28	1.36989531612991e-25
ADGRG1	16q21	0.46101316656581715	2.06903856450665e-28	1.668555459960743e-25
CASKIN2	17q25.1	0.46051804236391547	2.4023024072198097e-28	1.8082932308769643e-25
CYB5D1	17p13.1	-0.46049135531965774	2.4217011672872394e-28	1.8082932308769643e-25
ALPL	1p36.12	0.45900624781704114	3.78452314929754e-28	2.7249918290352753e-25
CHCHD7	8q12.1	-0.4577015871501	5.591911593256794e-28	3.887535504539663e-25
DVL3	3q27.1	0.45753166617803004	5.882865194613976e-28	3.8978527011682645e-25
RASL10A	22q12.2	0.4574692684767463	5.993424618630832e-28	3.8978527011682645e-25
STC2	5q35.2	0.4573315916060407	6.244688354339688e-28	3.9343488097450767e-25
SULF2	20q13.12	0.45632587885539955	8.424666746202085e-28	5.146960796066067e-25
CSPG5	3p21.31	0.45425639577770316	1.5552054506137029e-27	9.22191090877143e-25
FLVCR2	14q24.3	0.45336936084308016	2.0199779855333744e-27	1.1635650333239532e-24
MAN1C1	1p36.11	-0.45064781253500186	4.484245822416444e-27	2.511302222937164e-24
PRDX6	1q25.1	-0.45012290841947533	5.2255311867758896e-27	2.8473495745023972e-24
SLC12A4	16q22.1	0.44878007290776806	7.71931433466309e-27	4.095502534240594e-24
CYLD	16q12.1	-0.44764085634663975	1.0733553123224354e-26	5.548696526085286e-24
CCDC190	1q23.3	-0.44665841696647557	1.4248632296175845e-26	7.18166689308003e-24
LHX3	9q34.3	0.4446718015749	2.5196157468985693e-26	1.238974953005416e-23
EDC3	15q24.1	0.44399637604077824	3.0558464608970164e-26	1.4668790594796368e-23
LRRC75B	22q11.23	0.44170243901469175	5.865885383969231e-26	2.750281749446597e-23
DNAJB5	9p13.3	0.44156865032261966	6.092342029549723e-26	2.7915388104034534e-23
NOG	17q22	0.4411785608741546	6.803120150468066e-26	3.047949007857482e-23
ACADM	1p31.1	-0.4401452234719619	9.10663275012164e-26	3.9851284671450113e-23
CCDC30	1p34.2	-0.4400743525795967	9.29026526242823e-26	3.9851284671450113e-23
BCHE	3q26.1	0.43983160651808906	9.947410239681585e-26	4.178119538379593e-23
BCAN	1q23.1	0.43971122496012854	1.0290130492189466e-25	4.2338636908782005e-23
IGFN1	1q32.1	0.43822630432214366	1.5609827825006014e-25	6.294194775598925e-23
SEMA4B	15q26.1	0.43619721990809285	2.7495208827784663e-25	1.0816926993200039e-22
PPM1M	3p21.2	-0.43614472949654076	2.7899419852507412e-25	1.0816926993200039e-22
MIR9-3HG	15q26.1	0.4355576145228772	3.2840761394520344e-25	1.2417530850397632e-22
KLHL21	1p36.31	-0.43551193804523036	3.3259593567852393e-25	1.2417530850397632e-22
LRRN1	3p26.2	0.43463390699432497	4.241814210145992e-25	1.554894841650061e-22
TEX19	17q25.3	0.4345516136704643	4.339467436326505e-25	1.5622857675674762e-22
EBF4	20p13	0.43409848712294935	4.918310939961565e-25	1.7396152080800896e-22
DDIT4L	4q24	-0.43331081576955405	6.111519233086189e-25	2.124385159625011e-22
TTLL12	22q13.2	0.4323062672426092	8.055596920742882e-25	2.7526930426965635e-22
ZC4H2	Xq11.2	0.4317999203321019	9.255638149979332e-25	3.1100486790288883e-22
KLF1	19p13.13	0.4317216707353731	9.456212973929919e-25	3.1253558978262476e-22
DNAJC21	5p13.2	-0.43129891013911037	1.0616450598313185e-24	3.399272261370948e-22
DLG5	10q22.3	0.43129693139412506	1.0622198921996415e-24	3.399272261370948e-22
MYC	8q24.21	0.43110582672287784	1.1192098736081067e-24	3.4842994407087876e-22
KCTD9	8p21.2	-0.43109230646535535	1.1233543159866633e-24	3.4842994407087876e-22
LIX1L	1q21.1	0.43078329414851885	1.2223210406435985e-24	3.733820378850847e-22
LINC00461	5q14.3	0.4304136425584125	1.3520723144874358e-24	4.0685268555792826e-22
SF3A1	22q12.2	0.4301856539021737	1.438786679307581e-24	4.265790917870609e-22
EPS15	1p32.3	-0.429798073186568	1.5989812729793278e-24	4.672037890512497e-22
PRR3	6p21.33	0.4296836370199672	1.6495622952223276e-24	4.750975061996763e-22
CRLS1	20p12.3	0.4295843212197642	1.694738865149444e-24	4.812342290179992e-22
PIGK	1p31.1	-0.429291991390335	1.834926778805961e-24	5.138049831598192e-22
VAX2	2p13.3	0.42920539104804334	1.8786131174789287e-24	5.188317679656531e-22
ATAT1	6p21.33	0.42874552555693163	2.1283882074957193e-24	5.798707385313675e-22
POLR2F	22q13.1	0.4262472476499661	4.17949131415876e-24	1.1235029917967302e-21
BCL7A	12q24.31	0.4258463581794571	4.6550519692542504e-24	1.2348750362123017e-21
SARM1	17q11.2	0.4251896094611754	5.5521366990010085e-24	1.4537224414098613e-21
TMEM59	1p32.3	-0.4249602952894938	5.903971263038172e-24	1.526025187616828e-21
SYCE2	19p13.13	0.4227108072146038	1.0760281870405733e-23	2.7460511745474683e-21
PCDHGC3	5q31.3	0.42154947895092526	1.4643237350831816e-23	3.690278852876503e-21
SMARCB1	22q11.23|22q11	0.42120198229071604	1.605373986074932e-23	3.995795670772433e-21
RRAGD	6q15	0.4206883101550756	1.8387787117566508e-23	4.520928976551932e-21
PPCS	1p34.2	-0.41954627164539043	2.4844846461085325e-23	6.0349030060474846e-21
RALBP1	18p11.22	-0.4194738101344939	2.5322857378797415e-23	6.057722738821527e-21
TYW3	1p31.1	-0.41944137918998187	2.5539726838938037e-23	6.057722738821527e-21
DLL1	6q27	0.4187441580668326	3.067185184904456e-23	7.190409361960319e-21
CRTAC1	10q24.2	0.4182022873536326	3.535220545170751e-23	8.106957879838595e-21
SMS	Xp22.11	-0.4181986642780881	3.5385759308853545e-23	8.106957879838595e-21
MARCKS	6q21	0.4181496736282672	3.5842567839639186e-23	8.119348429381636e-21
SLC25A30	13q14.13	-0.4161154842074774	6.093893761214316e-23	1.365099912442687e-20
HES6	2q37.3	0.41605424539399927	6.191694602324187e-23	1.3717665371149225e-20
BCAS2	1p13.2	-0.4156792128912565	6.825343385201489e-23	1.495714652054861e-20
CDC14A	1p21.2	-0.415605249129523	6.957665705024717e-23	1.5083171857957345e-20
CACNG4	17q24.2	0.41364702098136286	1.1547608719307012e-22	2.4767163764888157e-20
CCDC181	1q24.2	-0.41346114866652445	1.2114393891690352e-22	2.5709294236880967e-20
NFE2L1	17q21.32	-0.41329488484241894	1.2644597258325686e-22	2.6554971388031683e-20
HDHD5	22q11.1	0.4129114574000647	1.395619961118542e-22	2.9007313439289617e-20
VEPH1	3q25.31-q25.32	0.41182347430021043	1.8453926257087572e-22	3.796424563970842e-20
HSF2BP	21q22.3	0.41045173345386704	2.620718115143441e-22	5.336999789839083e-20
CPXM1	20p13	0.4096583682772339	3.2077648113448735e-22	6.467174636152399e-20
TM2D1	1p31.3	-0.40936186855976286	3.458984601771438e-22	6.902292474456213e-20
FGD1	Xp11.22	0.40932442675323133	3.4920580943134454e-22	6.902292474456213e-20
SKAP2	7p15.2	-0.40924692828364995	3.5615093868998004e-22	6.971222402843386e-20
TSKU	11q13.5	0.40918109434996813	3.621576699882007e-22	7.020635369838571e-20
RINL	19q13.2	-0.4089865086828993	3.805023125016646e-22	7.306006783186724e-20
CCNB1IP1	14q11.2	0.40886320059540415	3.9259871591849187e-22	7.467153501540296e-20
THSD4	15q23	0.4082668953681609	4.56663819379238e-22	8.604485292060578e-20
CEP112	17q24.1	-0.4081870461352275	4.659906987284443e-22	8.698924515800152e-20
LGI4	19q13.12|19q13.11	-0.4080293981651772	4.849602086688004e-22	8.96998418988228e-20
CASTOR1	22q12.2	0.4076969588920103	5.274946114449851e-22	9.668017146674859e-20
GPSM1	9q34.3	0.40729956936212464	5.831895372068419e-22	1.0592508342006433e-19
DRAIC	15q23	0.40685486791912145	6.524120868337224e-22	1.1744000073798818e-19
FAM122B	Xq26.3	-0.40672341198279155	6.743845017090743e-22	1.203209375128907e-19
MYCL	1p34.2	0.40588391886873393	8.329617778331844e-22	1.4731002107802484e-19
CENPS	1p36.22	-0.4053435504063697	9.539478998603995e-22	1.6723950964422188e-19
RYR3	15q13.3-q14	-0.405292473877957	9.66243040103603e-22	1.6793470630628225e-19
PDCD4-AS1	10q25.2	0.4043901513318891	1.2111056243872011e-21	2.086931666091484e-19
SOX8	16p13.3	0.4032126517798022	1.6245900507799973e-21	2.775708475743689e-19
RTCA	1p21.2	-0.40303627876200143	1.6974891643325085e-21	2.875888995135101e-19
HKDC1	10q22.1	0.40289903482592987	1.7564391215602923e-21	2.950964094148088e-19
PRR22	19p13.3	0.4026710108816208	1.8588771012528963e-21	3.0972579535834415e-19
SPATS2L	2q33.1	-0.40248193929978765	1.948267208367167e-21	3.21959140884348e-19
TXN2	22q12.3	0.4020712062477727	2.1573228277605657e-21	3.5360801244293305e-19
TYSND1	10q22.1	0.40198973123186094	2.201348288890664e-21	3.5791437784132806e-19
SSTR2	17q25.1	0.4015597340220708	2.448797133207004e-21	3.9496159202069127e-19
LPAL2	6q25.3	0.40133970791683576	2.5858282501207247e-21	4.1175787201419792e-19
RCOR2	11q13.1	0.4013272916632663	2.5937825378603807e-21	4.1175787201419792e-19
VARS	6p21.33	0.40048236391722425	3.1957504284759702e-21	5.033556592851878e-19
GUCY1B2	13q14.3	0.40022183220659563	3.407759386869555e-21	5.325878837106751e-19
CCNDBP1	15q15.2	-0.4000305310390419	3.572206260095395e-21	5.539942339214097e-19
LINC00938	12q12	0.3999594922471592	3.635245059218644e-21	5.565893006794602e-19
FGFRL1	4p16.3	-0.39994955088111545	3.644153945225373e-21	5.565893006794602e-19
DNAJC16	1p36.21	-0.3998314386194667	3.7516612770552e-21	5.687010752384201e-19
DIABLO	12q24.31	0.39970383566612966	3.87132336985927e-21	5.804255664508439e-19
KIF16B	20p12.1	-0.39968784111311506	3.886585559786912e-21	5.804255664508439e-19
PLAG1	8q12.1	-0.39952771884757027	4.042684372238626e-21	5.9929823256399225e-19
MXRA7	17q25.1	-0.399423444966034	4.1476456217976805e-21	6.103699516865915e-19
SAMD5	6q24.3	0.39868884430738577	4.9672115773696715e-21	7.25680816024275e-19
ANO8	19p13.11	0.3979618432706125	5.935008186359895e-21	8.608323744259125e-19
FXYD2	11q23.3	0.39786662307255605	6.0748115990434334e-21	8.748162617736761e-19
ST6GAL2	2q12.3	0.3974316370933125	6.755890875000996e-21	9.659965668857808e-19
MYOD1	11p15.1	0.3972561979581282	7.051418962161649e-21	1.0011525189869084e-18
HNRNPA0	5q31.2	0.3971067620310247	7.313170809564615e-21	1.031054802039386e-18
TBP	6q27	0.3964700727657178	8.539997565098168e-21	1.1956589646523902e-18
MAGEH1	Xp11.21	0.3963999971810707	8.686838865163258e-21	1.2078300576590097e-18
ZDHHC22	14q24.3	0.39612565091092694	9.28606139709054e-21	1.282303313881797e-18
